Gene symbol	B cells naive	B cells memory	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Dendritic cells resting	Dendritic cells activated
APOBEC3G	1283.451966	1135.293933	2090.85254	336.6456997	2340.674986	1540.772502	386.0535874	979.7203756	5415.054458	6314.770723	8895.302228	865.7405246	203.4477818	1393.358139
APOL3	222.6275107	530.3981335	1209.122376	950.7902718	1615.032254	1119.486881	351.1290483	993.4624966	1173.270474	1172.693097	1002.837652	1000.826958	219.6004846	861.4587391
APOL6	17.31182151	11.60650829	8.448971352	11.96227918	8.439383107	57.5171862	7.177587337	13.36764224	9.718189532	12.85527177	370.3966282	11.82068745	9.135536319	159.5346364
AQP9	21.34280658	15.11459289	13.67548268	14.1921014	14.8941249	13.11596785	18.66670647	64.26406026	188.8727485	93.46925864	12.57775597	2044.034835	1132.650087	1454.899429
ARHGAP22	34.63556475	48.31289928	45.01409912	71.86055345	22.63123607	15.45266056	25.40966715	32.56780804	12.49456627	82.42753503	27.39864055	54.80800174	319.7744126	2985.731104
ARRB1	15.93115384	15.19815814	19.09130442	18.71219759	25.18421938	23.05515036	18.44492663	7.896579688	15.11426723	57.39670667	138.9893405	440.2370047	43.10758498	32.66449377
ASGR1	40.87013431	42.49782741	12.18880923	10.8262442	13.27420938	8.195551244	5.122171371	19.55662923	304.7934605	10.82390469	15.2477554	976.7071792	76.17616916	33.71862306
ASGR2	30.26095627	33.90854185	29.78023761	36.87140683	41.82249473	34.46381595	31.38273532	113.2301347	167.1042382	29.55398187	29.87461252	1484.961048	48.75909319	23.49623112
ATHL1	367.9599908	535.7827614	806.0999282	5333.944658	794.9480224	231.1788185	1765.552386	250.5151658	216.9823771	570.547141	277.0846656	183.2808703	31.12354897	26.36096779
ATP8B4	123.6149862	86.80594392	69.79360213	59.88926338	51.01417813	77.34829047	29.05340287	58.6310728	106.4715425	612.7580118	1035.862627	219.3440174	641.207958	109.3567651
ATXN8OS	19.03486997	17.5814772	12.10850879	11.61080204	12.65987353	12.98839722	12.42360351	16.7813537	24.88673795	10.34693112	9.398323168	10.41544387	10.34858245	12.37331355
AZU1	26.08448842	37.31588708	75.49418368	9.996682874	45.14159359	20.30359339	12.10187282	11.81131187	32.59050723	411.6451897	118.8706557	96.50450872	63.667765	58.98475492
BACH2	4442.146224	1237.156184	716.5762166	1423.65694	449.1787857	442.4757485	245.0583665	444.6850323	597.1505699	478.0988813	511.1200359	52.1091524	58.86433429	82.81441868
BANK1	7633.960182	9177.359918	27.08870144	39.56449682	35.51276327	4.929861418	18.99250539	33.46526866	55.75942073	33.00482498	37.1948578	86.58724759	49.22937803	19.41137259
BARX2	16.2562128	22.62509146	14.68073716	13.89894647	10.89927471	17.9020085	19.74347261	400.0920776	134.5869269	19.02444933	26.10193827	18.15622799	22.65017098	21.75934628
BCL11B	166.5812991	133.7136259	4183.738789	7177.230404	4962.937555	842.2142194	3186.537019	2748.114787	2581.692496	818.2107999	512.27635	88.02675109	95.81819269	76.4604343
BCL2A1	112.6417383	314.019133	575.0352025	452.9144897	755.8584033	1206.5058	698.6513948	171.062582	431.9749142	539.9592883	526.5774707	2261.391134	135.5924775	5551.253657
BCL7A	1097.312303	437.9146743	119.2680253	118.1838416	78.52160611	52.25679554	70.53816317	182.5834686	53.79298261	31.50174882	60.22893457	53.33648066	281.3217082	211.8047471
BEND5	571.2009408	267.7407888	159.6750731	219.5683455	64.9845649	51.46605096	54.2462042	28.02242234	56.17742997	74.64354417	37.21954547	57.98412082	66.09074337	79.33688539
BFSP1	8.615516504	12.0925165	19.66358081	130.3828712	8.910362721	12.08950821	59.32684348	14.5326211	111.388406	34.61450761	19.45168576	21.37855994	19.39633132	12.20057862
BHLHE41	227.283923	379.2503375	45.2704192	17.67634993	26.70594032	66.17589119	22.22269743	114.5180865	88.6299037	51.53421812	51.58608454	42.84587819	328.1155298	552.0522552
BIRC3	1762.323129	1072.239215	370.9307246	677.9807091	1121.424012	2888.707681	402.5623243	2449.370773	238.9246256	283.6871924	1173.96483	159.952492	442.7298273	10553.57544
BLK	1788.424777	3284.235489	136.3936481	67.99945866	19.16528476	10.42128191	89.85602787	9.580065844	20.71481403	10.05664906	12.25757399	34.13408456	15.2857867	16.7439792
BMP2K	282.3095234	216.4337119	117.76525	109.3081052	42.06887765	146.6778838	224.3125249	77.32098601	118.8177698	107.0425872	117.2003668	350.5910579	427.6761572	620.4619299
BPI	10.46971467	14.03167905	64.13890515	41.29948278	12.50772288	6.382539853	15.19584325	10.77959704	19.43743846	837.2008291	166.0621042	280.0017084	13.48246933	14.91304029
BRAF	2571.803933	974.3131867	178.6931052	101.0267209	155.551421	178.3523031	102.1260256	593.3232903	441.0280541	298.7194597	257.1799046	264.8782577	230.0949786	360.063401
BRSK2	10.44585498	4.456868898	10.46220047	7.924164041	16.19041478	40.50367377	54.73054355	14.7642389	61.61611091	18.27029466	17.22013091	11.75864418	7.49854918	28.80995339
BST1	65.21842011	67.5879307	68.85559845	129.3703853	67.69994038	71.82322708	62.2914124	44.30333794	322.4608558	151.4101449	86.13707715	1567.219569	154.2773488	113.982438
BTNL8	15.22236138	13.26757452	13.49547351	23.17042572	17.46905843	21.218127	16.64319163	35.14611792	44.08665866	11.54872001	13.71677829	20.1092024	16.44465145	18.98239767
C11orf80	531.8492615	393.7715656	162.5847884	91.4854186	158.5148937	138.9893405	136.961868	92.03471807	149.3466966	100.49005	141.0093392	85.67243058	103.7648187	141.8654708
C1orf54	41.71079514	44.30946814	244.0295762	292.5617552	288.2644361	109.8410784	87.19841264	51.31778403	125.6817604	162.6593193	73.10888641	395.0230177	4773.895505	1134.906101
C3AR1	131.0995558	97.68302989	218.067024	100.57262	198.3433582	109.0856459	110.3968405	521.2960334	667.738611	753.7180287	473.1714371	1337.368233	879.0878468	259.2776033
C5AR1	92.39233333	64.88366132	71.29814039	39.1758312	24.57422621	23.7998802	27.36083709	42.31424562	422.4027943	335.1748215	170.9594157	4237.561451	1195.953955	889.9578222
C5AR2	8.032047496	16.66742886	5.512627066	50.36671815	6.818438323	16.3457722	8.182355675	46.59340554	21.2390901	35.45497764	28.87408345	56.84374943	24.61393679	18.84768096
