Gene symbol	avg_B cell	avg_NK cell	avg_T cell	avg_Monocyte	avg_Dendritic cell
FPR1	361.3212533	397.2639649	240.3083941	9800.634834	222.4014754
FPR2	227.4506603	88.1553815	57.00754952	964.2419055	48.59895914
FPR3	325.6674246	112.657984	116.5979064	203.421307	4194.211448
FRK	138.3048999	3.655442581	5.639101241	7.43265118	18.05689621
FRMD4A	57.81750686	46.14200777	71.89460431	52.74025927	57.27849364
FRMD8	197.3732828	249.1822219	141.1237411	247.2516889	290.6920702
FZD2	40.20305932	21.52230454	6.482478073	455.2912189	236.3498633
FZD3	121.5674974	29.43502605	39.04159069	39.70835546	24.30648198
GAL3ST4	69.54706802	35.6643216	238.0119755	44.09898382	57.36368731
GALR1	2.661554274	4.227180464	6.212037366	4.179834102	3.475112044
GFI1	27.63680315	508.7800779	132.9727705	19.38352568	53.2689152
GGT5	11.49823256	16.95386801	9.261514296	11.13018839	12.62902183
GIPR	8.245074698	13.45361226	5.19508538	8.506723418	11.2653381
GNG7	768.0078466	60.45334031	104.2562884	112.449475	70.79123977
GNLY	9.016559093	21760.60028	1198.37505	19.94743339	21.45038814
GPC4	126.6902267	77.48575035	77.95639785	56.14456485	86.47333389
GPR1	3.129845825	17.25032467	1.244201526	5.245664557	2.979127268
GPR171	33.51495052	443.0770732	969.236538	14.67922106	560.4038043
GPR18	3056.84082	1204.171373	678.2573057	109.6660347	33.94734448
GPR183	275.8348106	216.2351844	3012.768061	196.979149	1945.433337
GPR19	27.02537152	42.35493987	71.86055345	19.81202335	14.74706676
GPR25	4.292572754	11.1673751	138.1919025	14.04592183	4.701007424
GPR65	507.5709281	2138.331722	1499.931247	1473.160908	155.0751578
GPR97	154.4101049	295.1646205	138.4573773	71.26388228	138.6725511
GRAP2	12.62708927	200.763896	269.2219489	11.82509864	10.11500312
GSTT1	6.958858985	15.93181405	14.99403456	17.31196185	64.6589982
GUSBP11	8048.07448	311.6532884	151.2654723	43.51505491	9.611149339
GYPE	38.71816582	15.90605862	3.69898121	6.627731906	8.386579586
